AJxt_anchor,FAQ
AAAGAf3SAgW3AgW4AgJ_AgYZ_anchor,Extra Heavy
AAAGAf3SAgW3AgW4AgJ_AgYY_anchor,Standard Weight
AAAGAf3SAgW3AgKA_anchor,Compression
AAAGAf3SAgW3AgKH_anchor,Flare
AAAGAf3SAgW3AgKN_anchor,Grip Jaw
AAAGAf3SAgW3AgJ9_anchor,Groove
AAAGAf3SAgW3AgJ9AgYZ_anchor,Extra Heavy
AAAGAf3SAgW3AgJ9AgYY_anchor,Standard Weight
AAAGAf3SAgW3AgKG_anchor,Lokring
AAAGAf3SAgW3AgKO_anchor,Pressfit
AAAGAf3SAgW3AgW5_anchor,Saran, Polypropylene or Teflon Lined
AAAGAf3SAgW3AgW5AgKF_anchor,Flange
AAAGAf3SAgW3AgW5AgKFAgX9_anchor,Class 150
AAAGAf3SAgW3AgW5AgKFAgX-_anchor,Class 300
AAAGAf3SAgW3AgJ7_anchor,Socket Weld
AAAGAf3SAgW3AgJ7AgXw_anchor,3000 PSI
AAAGAf3SAgW3AgJ7AgX1_anchor,6000 PSI
AAAGAf3SAgW3AgJ7AgX__anchor,9000 PSI
AAAGAf3SAgW3AgJ8_anchor,Thread
AAAGAf3SAgW3AgJ8AgX8_anchor,2000 PSI
AAAGAf3SAgW3AgJ8AgXw_anchor,3000 PSI
AAAGAf3SAgW3AgJ8AgX1_anchor,6000 PSI
AAAGAf3SAgW3AgZc_anchor,Vacuum Tubing
AAAGAf3SAgW3AgZcAgVL_anchor,Belled End
AAAGAf3SAgW3AgZcAgVLAgKB_anchor,Adhesive Joint
AAAGAf3SAgW3AgZcAgVLAgKC_anchor,Seal Weld
AAAGAf3SAgW3AgZcAgVLAgKD_anchor,Shrink Sleeve
AAAGAf3SAgW3AgZcAgVM_anchor,Straight End
AAAGAf3SAgW3AgZcAgVMAgKA_anchor,Compression
AAAGAf3SAgW3AgZcAgVMAgKE_anchor,Slip Coupling w/ Shrink Sleeve
AAAGAf3SAgXS_anchor,Cast Iron
AAAGAf3SAgXSAgZZ_anchor,DWV
AAAGAf3SAgXSAgZZAgVN_anchor,Hub & Spigot
AAAGAf3SAgXSAgZZAgVNAgKP_anchor,Gasket
AAAGAf3SAgXSAgZZAgVNAgKPAgYZ_anchor,Extra Heavy
AAAGAf3SAgXSAgZZAgVNAgKPAgYm_anchor,Service Weight
AAAGAf3SAgXSAgZZAgVNAgKQ_anchor,Lead
AAAGAf3SAgXSAgZZAgVNAgKQAgYZ_anchor,Extra Heavy
AAAGAf3SAgXSAgZZAgVNAgKQAgYm_anchor,Service Weight
AAAGAf3SAgXSAgZZAgKR_anchor,No-Hub
AAAGAf3SAgXSAgZZAgJ8_anchor,Thread
AAAGAf3SAgXSAgKF_anchor,Flange
